Species,Individual,Peak_Power
Cheetah,1,125.3596846
Cheetah,1,150.385658
Cheetah,1,121.6620704
Cheetah,1,179.7732154
Cheetah,1,36.60125154
Cheetah,1,154.8226938
Cheetah,1,166.2742348
Cheetah,2,120.8788311
Cheetah,2,84.58334713
Cheetah,2,93.78177491
Cheetah,2,122.2645525
Cheetah,2,130.1369684
Cheetah,3,114.5131311
Cheetah,3,113.4599418
Cheetah,3,98.99013921
Cheetah,3,97.93111894
Cheetah,3,45.90995814
Cheetah,3,125.2852912
Cheetah,3,113.3005883
Cheetah,4,91.56612761
Cheetah,4,143.6764396
Cheetah,4,135.7707422
Cheetah,4,130.948432
Cheetah,4,126.3189799
Cheetah,4,126.2375763
Cheetah,5,99.4436034
Cheetah,5,85.03748833
Cheetah,5,98.21740744
Cheetah,5,37.40785716
Cheetah,5,126.4864349
Cheetah,6,44.49414405
Cheetah,6,117.1713445
Cheetah,6,95.69828161
Cheetah,6,73.55551253
Cheetah,6,100.0976512
Cheetah,6,91.88633646
Cheetah,6,67.92904013
Impala,1,57.89528531
Impala,1,113.2661811
Impala,1,103.0072307
Impala,1,122.5752294
Impala,1,121.0720646
Impala,1,122.6355005
Impala,1,87.55016721
Impala,2,130.3529407
Impala,2,102.9460375
Impala,2,85.94232845
Impala,2,64.98272274
Impala,2,88.36263372
Impala,2,89.72878648
Impala,3,89.47855158
Impala,3,80.48096785
Impala,3,94.25959502
Impala,3,61.84997245
Impala,3,54.92599313
Impala,3,49.49196394
Impala,3,74.87838269
Impala,3,82.43706263
Impala,3,102.5030802
Impala,4,55.46104449
Impala,4,58.70942927
Impala,4,84.03393682
Impala,4,91.332921
Impala,4,61.02420626
Impala,5,135.5654294
Impala,5,108.6744066
Impala,5,121.633803
Lion,1,45.25659927
Lion,2,33.69462514
Lion,2,97.42186644
Lion,2,35.43304608
Lion,2,70.94447283
Lion,2,110.0576542
Lion,2,96.17297016
Lion,3,118.2299332
Lion,3,116.6235891
Lion,3,100.7127159
Lion,3,123.7813286
Lion,3,111.0304923
Lion,4,159.3778095
Lion,4,124.1538405
Lion,4,135.9978032
Lion,4,147.6266786
Lion,4,132.79078
Lion,5,128.2854265
Lion,5,61.12122844
Lion,5,164.1663798
Lion,5,94.57869874
Lion,5,143.6748715
Lion,5,126.6999375
Lion,5,130.7120162
Lion,6,106.6683384
Lion,6,71.14959023
Lion,6,134.2524909
Lion,6,34.389684
Lion,6,81.18738294
Lion,6,159.294971
Lion,6,93.47339033
Lion,7,25.18130138
Lion,7,29.87710567
Lion,7,25.16033425
Lion,7,51.26990272
Lion,7,69.49986098
Lion,8,145.4462291
Lion,8,93.04741903
Lion,8,100.1625177
Lion,8,178.6101193
Lion,8,105.5757407
Lion,8,123.0427603
Lion,8,120.9058751
Lion,8,83.63948788
Lion,8,129.4166991
Lion,8,88.69528925
Lion,8,91.23239418
Lion,8,171.1617489
Lion,8,106.2182322
Lion,8,95.12036088
Zebra,1,92.25571686
Zebra,1,127.663702
Zebra,1,100.7695837
Zebra,2,130.4870146
Zebra,2,106.1697405
Zebra,2,98.44083716
Zebra,2,71.87191369
Zebra,2,112.6151463
Zebra,2,142.2578863
Zebra,2,115.0454363
Zebra,4,98.02989171
Zebra,4,89.14594043
Zebra,4,73.5404773
Zebra,4,105.5826687
Zebra,4,106.4116387
Zebra,4,102.4001923
Zebra,5,91.20695641
Zebra,5,117.0071482
Zebra,5,138.6005395
Zebra,5,96.12935691
Zebra,5,78.81199659
Zebra,5,74.7878399
Zebra,5,97.53229909
Zebra,5,81.84052651
Zebra,6,88.43900834
Zebra,6,100.4069029
Zebra,6,94.37916276
Zebra,6,104.1538567
Zebra,6,78.05616278
Zebra,6,49.64317727
Zebra,6,79.46540447
Zebra,6,98.43477178
Zebra,6,94.9982193
Zebra,6,86.15764538
Zebra,6,78.49142081
Zebra,6,36.27584091
Zebra,6,104.128842
Zebra,6,42.01129249
Zebra,7,76.25724678
Zebra,7,57.047473
Zebra,7,111.7808646
Zebra,7,75.51298552
Zebra,7,60.8211469
Zebra,7,71.11899826
Zebra,8,23.77985553
Zebra,8,28.087723
Zebra,8,26.66971291
Zebra,8,19.23460613
Zebra,8,16.43060218
Zebra,8,26.53192929
Zebra,9,106.1904102
Zebra,9,124.6146805
Zebra,9,26.1364283
Zebra,9,41.94119618
Zebra,9,30.80733317
Zebra,9,18.26727535
Zebra,9,16.63824999
